item,apresentacao,quantidade,validade
CAMPO CIRÚRGICO VERDE ESCURO (P),Unidade,35,
CAPA DESCARTÁVEL PARA SERINGA TRÍPLICE,Caixa com 100,1,03/2030
CARBONO EM FILME PARA ARTICULAÇÃO 19µM,Rolo com 280 tiras,2,02/2027
CARBONO EM FILME PARA ARTICULAÇÃO 19µM,Rolo com 280 tiras,4,06/2028
CARBONO EM FILME PARA ARTICULAÇÃO 19µM,Rolo com 280 tiras,5,09/2028
CASSETES HISTOLÓGICOS,Pacote com 500,2,
CIMENTO DE IONÔMERO DE VIDRO FORRADOR RESINOSO (IONOFAST),"Seringa c/ 2,5g",0,04/2026
CIMENTO DE IONÔMERO DE VIDRO FOTOPOLIMERIZÁVEL A2 (RIVA),Caixa com 50 cápsulas,1,02/2027
CIMENTO IONÔMERO DE VIDRO,Unidade,0,06/2026
CIMENTO IONÔMERO DE VIDRO,Unidade,4,11/2027
CIMENTO ODONTOLÓGICO PERIODONTAL SEM EUGENOL (KIT),Caixa,4,06/2026
CINTA PROFILÁTICA,Pacote com 10,20,
CINZEL MICRO OCHSENBEIN Nº1,Unidade,4,
"CLORETO DE SÓDIO A 0,9% ESTÉRIL",Frasco com 250 ml,2,06/2027
"CLORETO DE SÓDIO A 0,9% ESTÉRIL",Frasco com 500 ml,31,07/2027
CLOREXIDINA (SOLUÇÃO DEGERMANTE COM TENSOATIVOS A 2%),Frasco com 1 litro,6,11/2025
CLOREXIDINA A 2% (ENXAGUANTE BUCAL),Frasco com 1 litro,28,07/2027
CLOREXIDINA A 2% (ENXAGUANTE BUCAL),Frasco com 1 litro,20,10/2027
COLETOR DE MATERIAL PERFURO CORTANTE 13 LITROS,Unidade,71,
COMPRESSA CIRÚRGICA (CAMPO OPERATÓRIO) 45x50CM,Pacote com 50,18,12/2030
"COMPRESSA CIRÚRGICA (CAMPO OPERATÓRIO) ESTÉRIL 25,2CM X 28CM",Pacote c/ 5,0,11/2027
"COMPRESSA CIRÚRGICA (CAMPO OPERATÓRIO) ESTÉRIL 25,2CM X 28CM",Pacote c/ 5,54,07/2027
"COMPRESSA GAZE ESTÉRIL 7,5X7,5 CM",Pacote com 500,76,06/2030
CONTRA-ÂNGULO PARA ODONTOLOGIA,Unidade,2,
CRIOBOX AZUL,Unidade,3,
CRIOBOX LARANJA,Unidade,3,
CRIOBOX TRANSPARENTE,Unidade,1,
CUBA DE ASSEPSIA ECONOX 9X5 cm 200ML,Unidade,0,
CUNHAS ANATÔMICAS SORTIDAS,Pacote com 100,51,
CUNHAS ELÁSTICAS C/ JOGOS DE PEÇAS SORTIDAS,Pacote com 75,3,
CURETA DE GRACEY N 1-2,Unidade,7,
CURETA DE GRACEY N 11-12,Unidade,8,
CURETA DE GRACEY N 7-8,Unidade,5,
CURETA DE MACCALL PERIODONTAL N 13-14,Unidade,3,
CURETA GRACEY N 5-6,Unidade,10,
CURETA MCCALL 13-14,Unidade,3,
CURETA PARA SEIO MAXILLAR N 01,Unidade,2,
CURETA PARA SEIO MAXILLAR N 02,Unidade,0,
CURETA PARA SEIO MAXILLAR N 03,Unidade,2,
CURETA PARA SEIO MAXILLAR N 04,Unidade,2,
CURETA PARA SEIO MAXILLAR N 05,Unidade,2,
CURETA PERIODONTAL DE AÇO 17-18,Unidade,3,
DESCOLADOR MOLT 2-4,Unidade,2,
"DESSENSIBILIZANTE DENTÁRIO COM NITRATO DE POTÁSSIO E FLUORETO DE SÓDIO 0,2%","Seringa de 2,5g",3,07/2027
DETERGENTE ENZIMÁTICO,Galão 5 litros,2,07/2027
DINAMÔMETRO,Unidade,1,
DISCO DE FELTRO FLEXÍVEL ROXO 8/12 MM,Caixa com 24 discos,6,11/2025
"DISCO DIAMANTADO PERIFÉRICO DUPLA FACE 22x0,15 MM",Unidade,10,04/2024
DISCO PARA ACABAMENTO E POLIMENTO,Caixa com 60,0,06/2027
ESCAVADOR DE DENTINA NR 11 ½,Unidade,5,
ESCAVADOR DE DENTINA NR 14,Unidade,5,
ESCOVA DE ROBSON CA – RETA,Unidade,218,
ESCOVA PARA LIMPEZA DE BROCA,Unidade,2,
ESCOVA DEGERMAÇÃO CLOREXIDINA 2%,Unidade,70,04/2029
ESCOVA DENTAL,Unidade,108,
ESFIGMOMANÔMETRO ADULTO,Unidade,5,
ESPÁTULA DE MADEIRA (ABAIXADOR DE LÍNGUA),Pacote com 100,54,
ESPÁTULA ODONTOLÓGICA MODELO THOMPSOM NÚMERO 1 DE AÇO E TITÂNIO,Unidade,5,
ESPÁTULA DUPLA N. 07,Unidade,22,
ESPÁTULA N 36,Unidade,23,
ESPÁTULA N.07,Unidade,3,
ESPÁTULA NR – 31,Unidade,5,
ESPÁTULA NR 24,Unidade,8,
ESPÁTULA NR 72,Unidade,5,
ESPÁTULA ODONTOLÓGICA AÇO N°04 DUPLO CABO C,Unidade,7,
ESPÉCULO VAGINAL AÇO GRANDE,Unidade,10,
ESPÉCULO VAGINAL AÇO MÉDIO,Unidade,10,
ESPÉCULO VAGINAL AÇO PEQUENO,Unidade,10,
ESPÉCULO VAGINAL DESCARTÁVEL GRANDE,Unidade,195,
ESPÉCULO VAGINAL DESCARTÁVEL MÉDIO,Unidade,392,
ESPÉCULO VAGINAL DESCARTÁVEL PEQUENO,Unidade,392,
ESPELHO ODONTOLÓGICO N°05,Unidade,16,
ESPONJA HEMOSTÁTICA DE COLÁGENO HIDROLISADO LIOFILIZADA,Caixa com 10,0,
ESTETÓSCOPIO RAPPAPORT,Unidade,6,
ESTIMULADOR NEUROMUSCULAR (TEENS),Unidade,3,
ESTOJO FLEXINOX EM AÇO 28X14X06 CM,Unidade,31,
FACE SHILDS,Unidade,0,
FIO DE SUTURA DE SEDA 3-0 MULTIFILAMENTO 17MM 45CM NÃO ABS.,Caixa com 24,9,10/2029
FIO DE SUTURA NYLON 4-0,Caixa com 24,1,06/2030
FIO DE SUTURA NYLON 5-0,Caixa com 24,9,08/2030
FIO DENTAL 100 METROS,Unidade,0,11/2024
FIO DENTAL 50 METROS,Unidade,20,04/2025
FIO RETRATOR GENGIVAL( EXTRA FINO 00),Frasco com 250 CM,1,04/2026
FIO RETRATOR GENGIVAL( EXTRA FINO 00),Frasco com 250 CM,5,02/2027
FIO RETRATOR GENGIVAL( EXTRA FINO 00),Frasco com 250 CM,3,06/2027
"FITA MATRIZ EM AÇO INOX 0,5 MM",Unidade com 500MM,85,
"FITA MATRIZ EM AÇO INOX 0,7 MM",Unidade com 500MM,85,
FLÚOR GEL NEUTRO TIXOTRÓPICO A 2%,Unidade,4,03/2028
FLÚOR GEL NEUTRO TIXOTRÓPICO A 2%,Unidade,1,10/2026
FORCEPS N. 01,Unidade,19,
FORCEPS N. 151,Unidade,19,
FORCEPS N. 16,Unidade,26,
FORCEPS N. 18 L,Unidade,21,
FORCEPS N. 18 R,Unidade,21,
FORCEPS N. 222,Unidade,25,
FORCEPS N. 65,Unidade,18,
FORCEPS N. 69,Unidade,40,
GEL CONDUTOR,Galão 5kg,4,07/2028
GRAMPO DE ISOLAMENTO N 0,Unidade,15,
GRAMPO DE ISOLAMENTO N 00,Unidade,15,
GRAMPO DE ISOLAMENTO N 200,Unidade,10,
GRAMPO DE ISOLAMENTO N 201,Unidade,16,
GRAMPO DE ISOLAMENTO N 202,Unidade,20,
GRAMPO DE ISOLAMENTO N 204,Unidade,20,
GRAMPO DE ISOLAMENTO N 205,Unidade,16,
GRAMPO DE ISOLAMENTO N 206,Unidade,10,
GRAMPO DE ISOLAMENTO N 208,Unidade,30,
GRAMPO DE ISOLAMENTO N 209,Unidade,20,
GRAMPO DE ISOLAMENTO N 210,Unidade,11,
GRAMPO DE ISOLAMENTO N 211,Unidade,10,
GRAMPO DE ISOLAMENTO N 212,Unidade,11,
GRAMPO DE ISOLAMENTO N 26,Unidade,20,
HEMOSTÁTICO,10 ml,1,05/2028
HOLTER RECORDER,Unidade,1,
INDICADOR BIOLÓGICO AUTOCLAVE /A VAPOR/ 3 HORAS,Unidade,26,02/2026
INDICADOR BIOLÓGICO AUTOCONTIDO SATURADO 121º-135º/USO ÚNICO PARA MINI INCUBADORA IS8,Unidade,50,05/2026
INDICADOR QUÍMICO TIPO 2 (BOWIE & DICK 4 KG),Unidade,0,06/2026
INTEGRADOR QUÍMICO TIPO 5,Caixa com 250,0,05/2027
INTEGRADOR QUÍMICO TIPO 5,Caixa com 250,8,12/2027
JALECO CENTRO CIRÚRGICO (G),Unidade,10,
JALECO CENTRO CIRÚRGICO (M),Unidade,15,
JALECO CENTRO CIRÚRGICO (P),Unidade,21,
KIT DE CAMPO CIRÚRGICO,Unidade,0,10/2027
KIT DE DISCO DE LIXA ABRASIVOS COLORIDOS,Caixa com 100,4,
KIT DE TIRAS ABRASIVAS DE POLIÉSTER COM GRANULAÇÕES DIFERENTES (EPITEX),Unidade,1,01/2034
KIT PARA POLIMENTO DE RESINA (TAÇAS E CONES),Unidade,65,
KIT (ESCOVA E CREME DENTAL),Unidade,99,
LÂMINA AÇO INOX MD DE LARINGOSCÓPIA CONVENCIONAL MACINTOSH 0,Unidade,1,
LÂMINA AÇO INOX MD DE LARINGOSCÓPIA CONVENCIONAL MACINTOSH 1,Unidade,1,
LÂMINA AÇO INOX MD DE LARINGOSCÓPIA CONVENCIONAL MACINTOSH 2,Unidade,1,
LÂMINA AÇO INOX MD DE LARINGOSCÓPIA CONVENCIONAL MACINTOSH 3,Unidade,1,
LÂMINA AÇO INOX MD DE LARINGOSCÓPIA CONVENCIONAL MACINTOSH 4,Unidade,1,
LÂMINA AÇO INOX MD DE LARINGOSCÓPIA CONVENCIONAL MACINTOSH 5,Unidade,1,
